event_id,ot_str,lat,lon,dep_km,h_err_km,z_err_km,rms,nphs,gap
20220905001000000_00000840.sum,,,,,,,,,
20220905001000000_00000960.sum,2022-09-05T00:10:00.298,22.289150,99.171261,37.251,19.997,38.067,0.190,20,340.9
20220905001000000_00001020.sum,2022-09-05T00:10:01.528,22.410341,104.108300,43.576,7.428,32.565,0.405,37,295.1
20220905001000000_00001140.sum,2022-09-05T00:10:00.289,22.851920,99.739212,35.628,4.734,13.808,0.330,45,302.5
20220905001000000_00001200.sum,2022-09-05T00:10:00.654,22.900706,104.099508,13.809,5.931,7.787,0.319,19,258.9
20220905001000000_00001320.sum,2022-09-05T00:10:00.295,23.279642,98.768973,11.276,9.188,14.906,0.307,28,318.5
20220905001000000_00001380.sum,2022-09-05T00:09:59.968,23.330838,103.623223,12.773,3.655,6.736,0.276,32,217.7
20220905001000000_00001500.sum,2022-09-05T00:10:00.610,23.661682,98.246682,31.494,18.091,36.905,0.253,15,333.6
20220905001000000_00001560.sum,2022-09-05T00:09:59.615,23.776875,103.133699,15.610,2.102,5.249,0.253,36,177.0
20220905001000000_00001680.sum,2022-09-05T00:10:01.674,24.122132,98.225573,38.457,29.926,37.075,0.233,9,334.9
20220905001000000_00001740.sum,2022-09-05T00:09:59.223,24.211203,102.647924,14.439,1.078,4.359,0.434,34,53.4
20220905001000000_00001860.sum,2022-09-05T00:10:00.028,24.648327,98.725439,24.245,10.951,13.612,0.256,20,266.7
20220905001000000_00001920.sum,2022-09-05T00:09:59.358,24.665395,102.659762,13.817,1.626,6.187,0.290,21,39.2
20220905001000000_00001980.sum,2022-09-05T00:10:00.042,24.632064,107.192285,32.150,12.226,39.477,0.414,27,317.0
20220905001000000_00002040.sum,,,,,,,,,
20220905001000000_00002100.sum,2022-09-05T00:09:59.698,25.107841,102.153248,5.581,1.480,6.070,0.215,25,81.6
20220905001000000_00002160.sum,2022-09-05T00:10:00.090,25.096732,106.584788,4.594,6.935,9.079,0.437,24,271.1
20220905001000000_00002280.sum,2022-09-05T00:09:59.016,25.565151,102.170494,22.051,1.525,7.262,0.150,23,52.5
20220905001000000_00002340.sum,2022-09-05T00:10:00.054,25.555409,106.093946,28.009,4.207,5.913,0.252,34,247.2
20220905001000000_00002460.sum,2022-09-05T00:09:59.298,26.005989,101.659368,14.658,1.440,5.848,0.246,31,51.0
20220905001000000_00002520.sum,2022-09-05T00:10:00.118,25.994674,106.107858,7.992,3.757,7.631,0.534,35,255.1
20220905001000000_00002640.sum,2022-09-05T00:09:59.569,26.462225,101.150932,3.284,1.344,4.677,0.408,40,30.1
20220905001000000_00002700.sum,2022-09-05T00:09:59.678,26.443679,105.639048,12.447,3.586,7.603,0.268,28,200.9
