event_id,ot_str,lat,lon,dep_km,h_err_km,z_err_km,rms,nphs,gap
20220905033033452_00000001.sum,2022-09-05T03:30:32.960,29.590002,102.038947,9.651,2.140,4.722,0.302,17,135.6
20220905035837434_00000002.sum,2022-09-05T03:58:36.764,29.517534,102.129431,20.586,3.780,11.042,0.231,7,144.1
20220905045218460_00000003.sum,2022-09-05T04:52:17.924,29.610003,102.115912,19.917,2.334,7.765,0.425,22,101.2
20220905045523647_00000004.sum,2022-09-05T04:55:21.830,29.724177,102.067013,18.271,6.964,20.337,0.197,9,244.8
20220905045549799_00000005.sum,2022-09-05T04:55:49.563,29.435380,102.153297,14.890,1.868,6.553,0.234,17,135.4
20220905045634711_00000006.sum,2022-09-05T04:56:34.213,29.411026,102.173993,16.607,1.695,7.889,0.347,22,103.0
20220905045742016_00000007.sum,2022-09-05T04:57:41.682,29.460398,102.180183,12.808,2.029,7.816,0.333,17,143.2
20220905045829815_00000008.sum,2022-09-05T04:58:29.508,29.438850,102.180589,13.756,1.960,6.404,0.337,22,140.4
20220905045946918_00000009.sum,2022-09-05T04:59:46.018,29.758079,102.070320,21.819,9.756,22.378,0.177,7,286.7
20220905050205427_00000010.sum,2022-09-05T05:02:05.134,29.452402,102.165846,14.703,1.555,6.908,0.334,24,105.1
20220905050550926_00000011.sum,2022-09-05T05:05:49.759,29.715426,102.093624,16.311,4.630,17.008,0.213,11,243.8
20220905050700241_00000012.sum,2022-09-05T05:06:59.856,29.423089,102.177371,17.623,1.661,7.930,0.407,21,104.8
20220905050909341_00000013.sum,2022-09-05T05:09:08.956,29.413486,102.212582,13.149,1.736,6.497,0.371,24,111.3
20220905051023444_00000014.sum,2022-09-05T05:10:22.869,29.469842,102.159635,17.070,1.883,9.351,0.362,22,104.8
20220905051113500_00000015.sum,2022-09-05T05:11:13.155,29.462765,102.162382,13.409,1.519,6.886,0.380,22,104.8
20220905051530738_00000016.sum,2022-09-05T05:15:30.360,29.519057,102.126027,14.046,1.403,7.207,0.326,26,101.4
20220905051608414_00000017.sum,2022-09-05T05:16:08.332,29.438114,102.178262,15.771,1.890,8.013,0.442,18,144.9
20220905051747946_00000018.sum,2022-09-05T05:17:46.684,29.703757,102.099273,17.880,4.914,18.054,0.151,9,245.5
20220905051853953_00000019.sum,2022-09-05T05:18:53.333,29.407102,102.181554,14.688,1.712,8.189,0.213,13,120.2
20220905051908493_00000020.sum,2022-09-05T05:19:07.756,29.745132,101.945044,25.148,6.571,11.439,0.149,9,134.0
20220905052324228_00000021.sum,2022-09-05T05:23:23.731,29.433678,102.162483,14.862,1.659,7.337,0.357,23,102.5
20220905052801568_00000022.sum,2022-09-05T05:28:01.172,29.438601,102.144386,13.718,1.731,7.909,0.231,14,99.9
