event_id,ot_str,lat,lon,dep_km,h_err_km,z_err_km,rms,nphs,gap
20220905033033730_00000001.sum,2022-09-05T03:30:32.960,29.590002,102.038947,9.651,2.140,4.722,0.302,17,135.6
20220905045218100_00000002.sum,2022-09-05T04:52:17.923,29.610025,102.115885,19.920,2.335,7.765,0.425,22,101.2
20220905045549930_00000003.sum,2022-09-05T04:55:49.563,29.435380,102.153297,14.890,1.868,6.553,0.234,17,135.4
20220905045635030_00000004.sum,2022-09-05T04:56:34.213,29.411026,102.173993,16.607,1.695,7.889,0.347,22,103.0
20220905045742390_00000005.sum,2022-09-05T04:57:41.682,29.460398,102.180183,12.808,2.029,7.816,0.333,17,143.2
20220905045830040_00000006.sum,2022-09-05T04:58:29.508,29.438850,102.180589,13.756,1.960,6.404,0.337,22,140.4
20220905045945600_00000007.sum,2022-09-05T04:59:46.018,29.758079,102.070320,21.819,9.756,22.378,0.177,7,286.7
20220905050205620_00000008.sum,2022-09-05T05:02:05.134,29.452402,102.165846,14.703,1.555,6.908,0.334,24,105.1
20220905050549600_00000009.sum,2022-09-05T05:05:49.759,29.715426,102.093624,16.311,4.630,17.008,0.213,11,243.8
20220905050700480_00000010.sum,2022-09-05T05:06:59.856,29.423089,102.177371,17.623,1.661,7.930,0.407,21,104.8
20220905050909440_00000011.sum,2022-09-05T05:09:08.956,29.413486,102.212582,13.149,1.736,6.497,0.371,24,111.3
20220905051023410_00000012.sum,2022-09-05T05:10:22.869,29.469842,102.159635,17.070,1.883,9.351,0.362,22,104.8
20220905051113670_00000013.sum,2022-09-05T05:11:13.155,29.462765,102.162382,13.409,1.519,6.886,0.380,22,104.8
20220905051530760_00000014.sum,2022-09-05T05:15:30.360,29.519057,102.126027,14.046,1.403,7.207,0.326,26,101.4
20220905051608800_00000015.sum,2022-09-05T05:16:08.332,29.438114,102.178262,15.771,1.890,8.013,0.442,18,144.9
20220905051853680_00000016.sum,2022-09-05T05:18:53.323,29.405466,102.182156,15.198,1.208,6.543,1.487,20,104.1
20220905052324280_00000017.sum,2022-09-05T05:23:23.731,29.433678,102.162483,14.862,1.659,7.337,0.357,23,102.5
20220905052801520_00000018.sum,2022-09-05T05:28:01.159,29.442030,102.148936,14.500,1.598,6.475,7.278,22,100.2
20220905052822800_00000019.sum,2022-09-05T05:28:22.208,29.476755,102.160007,12.208,1.800,8.092,0.484,19,105.5
20220905053140640_00000020.sum,2022-09-05T05:31:40.066,29.413378,102.148038,15.214,1.578,7.151,0.344,24,97.8
20220905053248370_00000021.sum,2022-09-05T05:32:47.342,29.412171,102.115945,16.615,3.033,13.820,0.285,13,127.9
20220905053528220_00000022.sum,2022-09-05T05:35:27.879,29.473761,102.154262,14.804,1.939,8.674,0.280,16,140.2
20220905053631020_00000023.sum,2022-09-05T05:36:30.818,29.848656,101.988841,14.762,3.422,10.560,0.098,9,224.7
20220905053759820_00000024.sum,2022-09-05T05:37:59.369,29.486618,102.201112,15.804,1.434,7.783,0.325,26,113.7
20220905054020580_00000025.sum,2022-09-05T05:40:20.048,29.416929,102.186280,13.149,1.591,6.844,0.349,23,105.8
20220905054217820_00000026.sum,2022-09-05T05:42:17.366,29.426361,102.190056,13.104,1.374,6.210,0.303,26,107.3
20220905054426970_00000027.sum,2022-09-05T05:44:26.609,29.891393,101.851329,16.115,2.911,7.606,4.999,16,82.6
20220905054458560_00000028.sum,2022-09-05T05:44:58.403,29.400007,102.150786,11.775,2.914,8.538,0.253,15,216.1
20220905054529040_00000029.sum,2022-09-05T05:45:28.782,29.562447,102.007777,13.140,4.559,13.360,0.142,13,241.9
20220905054633950_00000030.sum,2022-09-05T05:46:33.485,29.529667,102.127899,14.200,1.589,6.811,3.046,24,102.2
20220905054649970_00000031.sum,2022-09-05T05:46:49.595,29.457378,102.158229,13.880,2.092,7.453,2.833,22,103.9
20220905054753610_00000032.sum,2022-09-05T05:47:53.137,29.435539,102.169045,13.770,1.980,6.821,0.364,21,138.7
20220905054838280_00000033.sum,2022-09-05T05:48:37.745,29.456646,102.172469,13.642,1.466,6.057,0.362,26,106.6
20220905055029960_00000034.sum,2022-09-05T05:50:29.412,29.442998,102.151932,14.480,1.522,6.763,0.341,25,101.2
20220905055157140_00000035.sum,2022-09-05T05:52:22.578,29.502729,102.155048,13.046,4.266,8.076,14.638,17,146.9
20220905055223250_00000036.sum,2022-09-05T05:52:22.676,29.500413,102.144644,15.549,1.571,8.310,0.329,19,103.9
20220905055319810_00000037.sum,2022-09-05T05:53:18.927,29.786438,102.014638,12.790,4.144,8.160,0.342,11,131.7
20220905055438510_00000038.sum,2022-09-05T05:54:38.930,29.740962,102.108842,23.102,6.419,17.982,0.250,11,238.4
20220905055515290_00000039.sum,2022-09-05T05:55:15.493,29.736979,102.086136,18.724,5.352,16.732,0.204,11,238.4
20220905055727960_00000040.sum,2022-09-05T05:57:27.286,29.467590,102.155519,13.287,1.512,8.672,0.295,21,104.5
20220905055940420_00000041.sum,2022-09-05T05:59:40.370,29.516800,102.091853,11.542,4.107,12.297,0.170,16,240.0
20220905060024910_00000042.sum,2022-09-05T06:00:44.460,29.411630,102.174618,16.481,2.237,6.949,5.190,24,136.8
20220905060044670_00000043.sum,2022-09-05T06:00:44.277,29.420458,102.180896,16.716,1.884,8.263,0.290,19,139.3
20220905060319620_00000044.sum,2022-09-05T06:03:19.132,29.843064,102.002405,14.013,1.907,8.707,0.066,11,147.4
20220905060407140_00000045.sum,2022-09-05T06:04:06.772,29.436397,102.166021,18.385,1.511,8.465,0.291,17,103.7
20220905060619950_00000046.sum,2022-09-05T06:06:19.457,29.503102,102.136486,14.435,1.538,6.979,0.298,22,139.3
20220905060704170_00000047.sum,2022-09-05T06:07:03.513,29.463773,102.175618,14.488,2.306,9.698,0.372,13,147.3
